== Runs for test case cube2 (1 Mio. nodes) on KNL 7210 Xeon Phi processor in cached mode

KMP_AFFINITY 	MPI 	threads/task 	assembly time (s) 	performance
		tasks 	(hypertreading)			 	timing KNL/E5-2690v3
compact 	1 	64 (1) 		2.2498 			3.65762
compact 	2 	32 (1) 		1.9855 			3.22793
compact 	4 	16 (1) 		1.8974 			3.0847
compact 	8 	8 (1) 		1.8474 			3.00341
compact 	16 	4 (1) 		1.7792 			2.89254
compact 	32 	2 (1) 		1.6398 			2.66591
compact 	64 	1 (1) 		1.9583 			3.18371
compact 	1 	128 (2) 	2.4596 			3.9987
compact 	2 	64 (2) 		2.4051 			3.9101
compact 	4 	32 (2) 		2.4592 			3.99805
compact 	8 	16 (2) 		2.5132 			4.08584
compact 	16 	8 (2) 		2.5406 			4.13039
compact 	32 	4 (2) 		2.4804 			4.03252
compact 	64 	2 (2) 		2.5309 			4.11462
compact 	1 	256 (4) 	2.4953 			4.05674
compact 	2 	128 (4) 	2.3154 			3.76427
compact 	4 	64 (4) 		2.2716 			3.69306
compact 	8 	32 (4) 		2.6056 			4.23606
compact 	16 	16 (4) 		2.5933 			4.21606
compact 	32 	8 (4) 		2.4964 			4.05853
compact 	64 	4 (4) 		2.4908 			4.04942
scatter 	1 	64 (1) 		2.3421 			3.80767
scatter 	2 	32 (1) 		1.8964 			3.08308
scatter 	4 	16 (1) 		1.7985 			2.92391
scatter 	8 	8 (1) 		1.7584 			2.85872
scatter 	16 	4 (1) 		1.7453 			2.83742
scatter 	32 	2 (1) 		1.7464 			2.83921
scatter 	64 	1 (1) 		1.9962 			3.24533
scatter 	1 	128 (2)		 2.4281 		3.94749
scatter 	2 	64 (2) 		2.4307 			3.95172
scatter 	4 	32 (2) 		2.5144 			4.08779
scatter 	8 	16 (2) 		2.6426 			4.29621
scatter 	16 	8 (2) 		2.5254 			4.10567
scatter 	32 	4 (2) 		2.4634 			4.00488
scatter 	64 	2 (2) 		2.5302 			4.11348
scatter 	1 	256 (4) 	2.4142 			3.92489
